Pitcher,Avg FB Velocity (mph),ERA,K/9,BB/9,HR/9,FIP,GB,FB
(BAL) Corbin Burnes,96,2.92,8.4,2.2,2.0,3.55,47.9,22.4
(BAL) Albert Suarez,93,3.70,7.3,2.9,1.1,4.24,34.1,31.6
(BOS) Kutter Crawford,94,4.36,8.6,2.5,1.7,4.65,36.2,32.3
(BOS) Tanner Houck,95,3.12,7.8,2.4,0.6,3.32,55.2,17.4
(CHW) Chris Flexer,92,4.95,6.9,3.5,1.4,4.80,35.5,27.6
(CHW) Garrett Crochet,97,3.58,12.9,2.0,1.1,2.69,44.5,25.9
(CLE) Tanner Bibee,94,3.47,9.7,2.3,1.1,3.56,34.6,31.6
(CLE) Ben Lively,90,3.81,7.0,2.9,1.4,4.66,42.2,28.3
(DET) Tarik Skubal,94,2.39,10.7,1.6,0.7,2.49,45.5,24.7
(DET) Reese Olson,94,3.53,8.1,2.6,0.6,3.17,50.5,19.0
(HOU) Framer Valdez,93,2.91,8.6,2.8,0.7,3.25,59.8,15.0
(HOU) Hunter Brown,97,3.49,9.5,3.2,1.0,3.58,48.3,22.0
(KC) Seth Lugo,92,3.00,7.9,2.1,7.7,3.25,43.6,25.8
(KC) Cole Ragans ,95,3.14,10.8,3.2,0.7,2.99,39.9,27.3
(LAA) Tyler Anderson,90,3.81,7.1,3.7,1.2,4.66,37.8,29.5
(LAA) Griffin Canning,94,5.19,6.8,3.5,1.6,5.26,40.6,30.0
(MIN) Pablo Lopez,94,4.08,9.6,2.0,1.3,3.65,43.4,26.6
(MIN) Bailey Ober,91,3.98,9.6,2.2,1.4,3.82,33.5,35.2
(NYY) Carlos Rodon,94,3.96,10.0,2.9,1.6,4.39,33.8,35.4
(NYY) Nestor Cortes ,92,3.77,8.4,2.0,1.2,3.84,30.7,32.1
(OAK) JP Sears,92,4.38,6.8,2.4,1.4,4.71,36.8,32.0
(OAK) Mitch Spence,92,4.58,7.5,2.6,1.2,4.21,48.2,23.8
(SEA) Logan Gilbert,95,3.23,9.5,1.6,1.1,3.27,44.1,24.4
(SEA) Bryce Miller,94,2.94,8.5,2.2,1.0,3.58,38.4,33.0
(TB) Zack Littell,92,3.62,8.1,1.8,1.3,3.88,33.7,27.8
(TB) Taj Bradley,95,4.11,10.0,3.1,1.4,4.09,41.0,27.9
(TEX) Nathan Eovaldi,94,3.80,8.8,2.2,1.2,3.83,48.4,24.5
(TEX) Andrew Heaney,92,4.28,8.9,2.3,1.3,4.04,33.5,30.6
(TOR) Jose Berrios,94,3.60,7.2,2.5,1.5,4.72,42.7,26.0
(TOR) Kevin Gausman,94,3.83,8.1,2.8,1.0,3.77,39.1,30.1