(Team) MLB Stadium,Balanced ,Power,Groundballer,Finesse,Veteran
(ARI) Chase Field,1.38,3.80,2.81,3.31,1.46
(ATL) Truist Park,1.09,2.76,2.52,2.84,2.39
(BAL) Camden Yards,2.15,1.82,1.88,3.48,3.54
(BOS) Fenway Park,3.65,0.85,2.64,4.38,5.27
(CHC) Wrigley Field,1.54,4.36,3.40,3.35,0.82
(CHW) Guaranteed Rate Field,1.82,1.53,3.29,2.31,3.79
(CIN) Great American Ballpark,0.93,3.01,2.70,2.78,2.13
(CLE) Progressive Field,0.79,2.75,3.79,1.48,2.85
(COL) Coors Field,3.18,6.20,6.67,2.79,3.08
(DET) Comerica Park,0.59,3.88,3.99,2.05,1.63
(HOU) Minute Maid Park,1.16,2.28,2.69,2.57,2.85
(KC) Kauffman Stadium,0.84,2.50,3.43,1.83,2.86
(LAA) Angel Stadium,0.58,2.72,3.38,1.92,2.59
(LAD) Dodgers Stadium,1.48,2.50,2.17,3.12,2.73
(MIA) LoanDepot Park,1.26,3.62,2.75,3.20,1.60
(MIL) America Family Field,0.56,3.16,3.08,2.46,1.99
(MIN) Target Field,0.92,2.37,3.22,2.05,2.88
(NYM) City Field,1.07,3.58,2.89,3.01,1.58
(NYY) Yankee Stadium,0.88,2.80,2.73,2.64,2.33
(PHI) Citizens Bank Park,1.58,1.95,2.42,2.87,3.19
(PIT) PNC Park,1.64,1.71,2.72,2.66,3.43
(OAK) Oakland Coliseum ,1.48,1.85,3.26,2.15,3.45
(SD) Petco Park,1.19,2.35,2.58,2.69,2.78
(SF) Oracle Park,2.20,1.20,3.39,2.53,4.18
(SEA) T-Mobile Park,0.73,2.84,3.82,1.46,2.78
(STL) Busch Stadium,1.58,3.67,2.50,3.51,1.72
(TB) Tropicana Field,1.64,1.68,2.82,2.58,3.47
(TEX) Globe Life Stadium,2.26,2.23,1.50,3.78,3.39
(TOR) Rogers Centre,1.10,2.20,3.23,2.05,3.07
(WAS) Nationals Park,1.56,2.94,2.07,3.37,2.42