(Team) MLB Stadium,Left Field,Center Field,Right Field,LF Wall,CF Wall,RF Wall
(ARI) Chase Field,330,407,335,7.5,25,7.5
(ATL) Truist Park,335,400,330,11,15,15
(BAL) Camden Yards,333,400,318,7,7,21
(BOS) Fenway Park,310,390,302,37,18,3
(CHC) Wrigley Field,355,400,353,15,11.5,15
(CHW) Guaranteed Rate Field,330,400,335,8,8,8
(CIN) Great American Ballpark,328,404,325,12,12,8
(CLE) Progressive Field,325,410,325,19,9,9
(COL) Coors Field,347,415,350,8,8,17
(DET) Comerica Park,345,420,330,7,9,8
(HOU) Minute Maid Park,315,406,326,21,8,7
(KC) Kauffman Stadium,330,410,330,9,9,9
(LAA) Angel Stadium,330,400,330,5,8,8
(LAD) Dodgers Stadium,330,395,330,8,8,8
(MIA) LoanDepot Park,344,407,335,9,12,9
(MIL) America Family Field,344,400,345,8,8,8
(MIN) Target Field,339,404,328,8,8,23
(NYM) City Field,335,408,330,8,8,8
(NYY) Yankee Stadium,318,408,314,8,8,8
(PHI) Citizens Bank Park,329,401,330,13,6,13
(PIT) PNC Park,325,399,320,6,8,21
(OAK) Oakland Coliseum ,330,400,330,8,8,8
(SD) Petco Park,334,396,322,7,7,10
(SF) Oracle Park,339,399,309,8,8,25
(SEA) T-Mobile Park,331,401,326,7,7,15
(STL) Busch Stadium,336,400,335,8,8,8
(TB) Tropicana Field,315,404,322,11,9,11
(TEX) Globe Life Stadium,332,400,325,14,8,8
(TOR) Rogers Centre,328,400,328,8,8,8
(WAS) Nationals Park,336,402,335,8,8,12