Pitcher,FB Velo,ERA,K/9,BB/9,HR/9,GB,FB
(ARI) Brandon Phaadt,95,4.71,9.2,2.1,1.2,41.5,28.8
(ARI) Ryne Nelson,94,4.24,7.5,2.0,1.0,42.5,24.1
(ATL) Chris Sale,94,2.38,11.4,2.0,0.5,45.1,24.0
(ATL) Max Fried,95,3.25,8.6,2.9,0.7,58.2,16.1
(BAL) Corbin Burnes,96,2.92,8.4,2.2,2.0,47.9,22.4
(BAL) Albert Suarez,93,3.70,7.3,2.9,1.1,34.1,31.6
(BOS) Kutter Crawford,94,4.36,8.6,2.5,1.7,36.2,32.3
(BOS) Tanner Houck,95,3.12,7.8,2.4,0.6,55.2,17.4
(CHC) Shota Imanaga,92,2.91,9.0,1.5,1.4,36.6,32.9
(CHC) Jameson Taillon,93,3.27,6.8,1.8,1.1,39.4,30.7
(CHW) Chris Flexer,92,4.95,6.9,3.5,1.4,35.5,27.6
(CHW) Garrett Crochet,97,3.58,12.9,2.0,1.1,44.5,25.9
(CIN) Hunter Greene,99,2.75,10.1,3.4,0.7,33.9,31.7
(CIN) Nick Martinez,92,3.72,7.4,3.4,1.6,36.5,27.9
(CLE) Tanner Bibee,94,3.47,9.7,2.3,1.1,34.6,31.6
(CLE) Ben Lively,90,3.81,7.0,2.9,1.4,42.2,28.3
(COL) Austin Gomber,90,4.75,6.3,2.1,1.6,37.5,28.7
(COL) Ryan Feltner,95,4.49,7.7,2.9,1.1,43.8,25.7
(DET) Tarik Skubal,94,2.39,10.7,1.6,0.7,45.5,24.7
(DET) Reese Olson,94,3.53,8.1,2.6,0.6,50.5,19.0
(HOU) Framer Valdez,93,2.91,8.6,2.8,0.7,59.8,15.0
(HOU) Hunter Brown,97,3.49,9.5,3.2,1.0,48.3,22.0
(KC) Seth Lugo,92,3.00,7.9,2.1,7.7,43.6,25.8
(KC) Cole Ragans ,95,3.14,10.8,3.2,0.7,39.9,27.3
(LAA) Tyler Anderson,90,3.81,7.1,3.7,1.2,37.8,29.5
(LAA) Griffin Canning,94,5.19,6.8,3.5,1.6,40.6,30.0
(LAD) Tyler Glasnow,97,3.49,11.3,2.4,1.0,47.6,23.7
(LAD) Yoshinobu Yamamoto,95,3.00,10.5,2.2,0.7,47.5,20.0
(MIA) Trevor Rogers,93,4.53,7.3,3.9,1.0,46.7,25.4
(MIA) Edward Cabrera,96,4.95,10.0,4.7,1.4,46.9,21.9
(MIL) Freddie Peralta,95,3.68,10.4,3.5,1.3,36.2,29.5
(MIL) Colin Rea,93,4.29,7.2,2.3,1.6,38.6,30.4
(MIN) Pablo Lopez,94,4.08,9.6,2.0,1.3,43.4,26.6
(MIN) Bailey Ober,91,3.98,9.6,2.2,1.4,33.5,35.2
(NYM) Luis Severino,97,3.91,8.0,3.0,1.1,45.2,25.2
(NYM) Sean Manaea,92,3.47,9.1,3.1,1.0,37.0,29.1
(NYY) Carlos Rodon,94,3.96,10.0,2.9,1.6,33.8,35.4
(NYY) Nestor Cortes ,92,3.77,8.4,2.0,1.2,30.7,32.1
(PHI) Zack Wheeler,96,2.57,10.1,2.3,0.9,42.5,26.0
(PHI) Aaron Nola,91,3.57,8.9,2.3,1.4,44.2,24.4
(PIT) Paul Skenes,100,1.96,11.5,2.2,0.7,51.6,20.3
(PIT) Mitch Keller,95,4.25,8.4,2.5,1.2,39.4,26.3
(OAK) JP Sears,92,4.38,6.8,2.4,1.4,36.8,32.0
(OAK) Mitch Spence,92,4.58,7.5,2.6,1.2,48.2,23.8
(SD) Dylan Cease,97,3.47,10.6,3.1,0.9,39.4,30.7
(SD) Michael King,94,2.95,10.4,3.3,0.9,40.0,23.7
(SF) Logan Webb,94,3.47,7.6,2.2,0.5,57.1,17.3
(SF) Blake Snell,93,3.12,12.5,3.8,0.5,41.7,26.8
(SEA) Logan Gilbert,95,3.23,9.5,1.6,1.1,44.1,24.4
(SEA) Bryce Miller,94,2.94,8.5,2.2,1.0,38.4,33.0
(STL) Sonny Gray,92,3.84,11.0,2.1,1.1,42.1,24.7
(STL) Andre Pallante,95,3.78,7.0,3.6,0.6,61.4,16.2
(TB) Zack Littell,92,3.62,8.1,1.8,1.3,33.7,27.8
(TB) Taj Bradley,95,4.11,10.0,3.1,1.4,41.0,27.9
(TEX) Nathan Eovaldi,94,3.80,8.8,2.2,1.2,48.4,24.5
(TEX) Andrew Heaney,92,4.28,8.9,2.3,1.3,33.5,30.6
(TOR) Jose Berrios,94,3.60,7.2,2.5,1.5,42.7,26.0
(TOR) Kevin Gausman,94,3.83,8.1,2.8,1.0,39.1,30.1
(WAS) Jake Irvin,92,4.41,7.5,2.5,1.4,44.0,25.5
(WAS) MacKenzie Gore,96,3.90,9.8,3.5,0.8,39.1,25.4